URL,Title,Brand,SKU Density,Size Options,Color Options,Availability,DeliveryEstimate,Seller,Price,Rating,Number of Ratings,Platform,Scraped On
https://www.flipkart.com/brexx-straight-fit-men-blue-jeans/p/itm303a210057cf6?pid=JEAH3AHFDJRJN9EU&lid=LSTJEAH3AHFDJRJN9EU9PQ4LS&marketplace=FLIPKART&q=mens+jeans&store=clo%2Fvua%2Fk58%2Fi51&srno=s_1_21&otracker=search&fm=organic&iid=84ae4814-bae4-470a-b957-098efae18335.JEAH3AHFDJRJN9EU.SEARCH&ppt=pp&ppn=pp&ssid=8lkq1dlrps0000001750684641434&qH=462e4d2bc105b2ed,Men Straight Fit Mid Rise Blue Jeans,BREXX,0,0,0,In stock,"26 Jun, Thursday",Anikaenterprises20244.3,₹499,3.7,"1,303 ratings and 83 reviews",flipkart,"23 Jun, Monday"
https://www.flipkart.com/houseofcommon-slim-men-black-jeans/p/itma9b4d4beb596b?pid=JEAHCYXYKVF3GCHE&lid=LSTJEAHCYXYKVF3GCHES8B1RD&marketplace=FLIPKART&q=mens+jeans&store=clo%2Fvua%2Fk58%2Fi51&srno=s_1_22&otracker=search&fm=organic&iid=84ae4814-bae4-470a-b957-098efae18335.JEAHCYXYKVF3GCHE.SEARCH&ppt=pp&ppn=pp&ssid=8lkq1dlrps0000001750684641434&qH=462e4d2bc105b2ed,Men Slim Mid Rise Black Jeans,HouseOfCommon,0,0,0,In stock,"26 Jun, Thursday",PihuCollection20174.1,₹496,4.1,,flipkart,"23 Jun, Monday"
https://www.flipkart.com/brexx-relaxed-fit-men-grey-jeans/p/itma0f37c5e6336b?pid=JEAH2RQASPJKQMSN&lid=LSTJEAH2RQASPJKQMSNOMXR9B&marketplace=FLIPKART&q=mens+jeans&store=clo%2Fvua%2Fk58%2Fi51&srno=s_1_23&otracker=search&fm=organic&iid=84ae4814-bae4-470a-b957-098efae18335.JEAH2RQASPJKQMSN.SEARCH&ppt=pp&ppn=pp&ssid=8lkq1dlrps0000001750684641434&qH=462e4d2bc105b2ed,Men Relaxed Fit Mid Rise Grey Jeans,BREXX,0,0,0,In stock,"26 Jun, Thursday",Anikaenterprises20244.3,₹492,3.9,"4,140 ratings and 206 reviews",flipkart,"23 Jun, Monday"
https://www.flipkart.com/flying-machine-regular-men-black-jeans/p/itma320bb32f55c8?pid=JEAGSAVEYHHGH87P&lid=LSTJEAGSAVEYHHGH87PCHMBVF&marketplace=FLIPKART&q=mens+jeans&store=clo%2Fvua%2Fk58%2Fi51&srno=s_1_24&otracker=search&fm=organic&iid=84ae4814-bae4-470a-b957-098efae18335.JEAGSAVEYHHGH87P.SEARCH&ppt=pp&ppn=pp&ssid=8lkq1dlrps0000001750684641434&qH=462e4d2bc105b2ed,Men Regular Mid Rise Black Jeans,FLYING MACHINE,0,0,0,In stock,"26 Jun, Thursday",HSAtlastradeFashion4.2,"₹1,039",4.1,"1,084 ratings and 54 reviews",flipkart,"23 Jun, Monday"
https://www.flipkart.com/u-s-polo-assn-denim-co-regular-men-blue-jeans/p/itm7eeca3de567a8?pid=JEAGRQJNGFBW4MGF&lid=LSTJEAGRQJNGFBW4MGF1XG6DU&marketplace=FLIPKART&q=mens+jeans&store=clo%2Fvua%2Fk58%2Fi51&srno=s_1_25&otracker=search&fm=organic&iid=84ae4814-bae4-470a-b957-098efae18335.JEAGRQJNGFBW4MGF.SEARCH&ppt=pp&ppn=pp&ssid=8lkq1dlrps0000001750684641434&qH=462e4d2bc105b2ed,Men Regular Mid Rise Blue Jeans,U.S. Polo Assn. Denim Co.,10,8,2,In stock,"26 Jun, Thursday",HSAtlastradeFashion4.2,"₹1,379",3.9,633 ratings and 26 reviews,flipkart,"23 Jun, Monday"
https://www.flipkart.com/podge-loose-fit-men-light-blue-jeans/p/itm2ce5cd8723a2f?pid=JEAHD5ZP8VDBMBHB&lid=LSTJEAHD5ZP8VDBMBHBPYTTRK&marketplace=FLIPKART&q=mens+jeans&store=clo%2Fvua%2Fk58%2Fi51&srno=s_1_26&otracker=search&fm=organic&iid=84ae4814-bae4-470a-b957-098efae18335.JEAHD5ZP8VDBMBHB.SEARCH&ppt=pp&ppn=pp&ssid=8lkq1dlrps0000001750684641434&qH=462e4d2bc105b2ed,Men Loose Fit Mid Rise Light Blue Jeans,PODGE,0,0,0,In stock,"26 Jun, Thursday",PODGECreations3.7,₹500,4.4,,flipkart,"23 Jun, Monday"
https://www.flipkart.com/urbano-fashion-slim-men-black-jeans/p/itmf3vzvepvpz8by?pid=JEAEP6TYU7HNGRRW&lid=LSTJEAEP6TYU7HNGRRWGFZA20&marketplace=FLIPKART&q=mens+jeans&store=clo%2Fvua%2Fk58%2Fi51&srno=s_1_27&otracker=search&fm=organic&iid=84ae4814-bae4-470a-b957-098efae18335.JEAEP6TYU7HNGRRW.SEARCH&ppt=pp&ppn=pp&ssid=8lkq1dlrps0000001750684641434&qH=462e4d2bc105b2ed,Men Slim Mid Rise Black Jeans,Urbano Fashion,15,8,7,In stock,"26 Jun, Thursday",RetailNet4.2,₹529,3.9,"1,30,745 ratings and 13,717 reviews",flipkart,"23 Jun, Monday"
https://www.flipkart.com/urbano-fashion-boot-leg-men-light-blue-jeans/p/itm2dcba1b050092?pid=JEAGNHFADCPWZQGE&lid=LSTJEAGNHFADCPWZQGEGHOJHQ&marketplace=FLIPKART&q=mens+jeans&store=clo%2Fvua%2Fk58%2Fi51&srno=s_1_28&otracker=search&fm=organic&iid=84ae4814-bae4-470a-b957-098efae18335.JEAGNHFADCPWZQGE.SEARCH&ppt=pp&ppn=pp&ssid=8lkq1dlrps0000001750684641434&qH=462e4d2bc105b2ed,Men Boot-Leg Mid Rise Light Blue Jeans,Urbano Fashion,15,8,7,In stock,"26 Jun, Thursday",RetailNet4.2,₹652,3.9,"8,095 ratings and 497 reviews",flipkart,"23 Jun, Monday"
https://www.flipkart.com/flying-machine-tapered-fit-men-blue-jeans/p/itm4df462e7c182d?pid=JEAGSAVEAKEGUR3R&lid=LSTJEAGSAVEAKEGUR3RFCAUBS&marketplace=FLIPKART&q=mens+jeans&store=clo%2Fvua%2Fk58%2Fi51&srno=s_1_29&otracker=search&fm=organic&iid=84ae4814-bae4-470a-b957-098efae18335.JEAGSAVEAKEGUR3R.SEARCH&ppt=pp&ppn=pp&ssid=8lkq1dlrps0000001750684641434&qH=462e4d2bc105b2ed,Men Tapered Fit Mid Rise Blue Jeans,FLYING MACHINE,0,0,0,In stock,"26 Jun, Thursday",HSAtlastradeFashion4.2,"₹1,247",4.1,621 ratings and 30 reviews,flipkart,"23 Jun, Monday"
https://www.flipkart.com/comfits-loose-fit-men-beige-jeans/p/itme9dfbb3b77c63?pid=JEAHCCF9XA4G9Q2K&lid=LSTJEAHCCF9XA4G9Q2KDOMWAM&marketplace=FLIPKART&q=mens+jeans&store=clo%2Fvua%2Fk58%2Fi51&srno=s_1_30&otracker=search&fm=organic&iid=84ae4814-bae4-470a-b957-098efae18335.JEAHCCF9XA4G9Q2K.SEARCH&ppt=pp&ppn=pp&ssid=8lkq1dlrps0000001750684641434&qH=462e4d2bc105b2ed,Men Loose Fit Mid Rise Beige Jeans,comfits,0,0,0,In stock,"26 Jun, Thursday",JAINENTERPRISES013.2,₹500,3.6,,flipkart,"23 Jun, Monday"
